gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,ch,dvt,lct,lt,ni,re,revt,seq,teq,xt,costat,ggroup
62501,20130930,2013,INDL,C,D,STD,SPH,SUBURBAN PROPANE PRTNRS  -LP,USD,2727.987,107.232,201.257,233.894,1598.861,78.798,,1703.606,1129.126,1129.126,,A,5510
62516,20131231,2013,INDL,C,D,STD,CENX,CENTURY ALUMINUM CO,USD,1810.196,84.088,0,247.763,807.384,-40.313,-1456.774,1454.313,1002.812,1002.812,,A,1510
62525,20131231,2013,INDL,C,D,STD,HEB,HEMISPHERX BIOPHARMA INC,USD,31.867,0.803,0,2.532,2.569,-16.225,-260.433,0.15,29.298,29.298,,A,3520
62527,20131231,2013,INDL,C,D,STD,3AMFC,AMB FINANCIAL CORP,USD,174.509,2.255,0.264,,158.075,0.814,8.786,8.285,16.434,16.434,,A,4010
62545,20130131,2012,INDL,C,D,STD,AABVF,ABERDEEN INTERNATIONAL INC,CAD,75.79,,1.734,,10.34,-30.63,17.899,1.943,65.45,65.45,,A,1510
62549,20131231,2013,INDL,C,D,STD,KVHI,KVH INDUSTRIES INC,USD,183.849,9.358,0,29.459,67.382,4.533,12.301,162.288,116.467,116.467,,A,4520
62553,20131031,2013,INDL,C,D,STD,OCC,OPTICAL CABLE CORP,USD,45.415,0.75,0.514,4.824,15.855,-0.043,21.519,75.266,30.199,29.56,,A,4520
62575,20130630,2013,INDL,C,D,STD,FFDF,FFD FINANCIAL CORP,USD,245.325,1.097,0.694,,223.229,2.503,19.746,11.992,22.096,22.096,,A,4010
62592,20131231,2013,INDL,C,D,STD,PLX,PROTALIX BIOTHERAPEUTICS INC,USD,113.333,86.398,0,26.696,140.279,-27.79,-211.385,11.513,-26.946,-26.946,,A,3520
62602,20131231,2013,INDL,C,D,STD,SAPE,SAPIENT CORP,USD,950.648,337.63,0,243.067,360.635,77.727,44.867,1305.232,589.229,589.229,,A,4510
